1a2/4/4/4/4/2N1,6,4,,b2
a3/4/1N2/4/4/4,b4a6
1a2/4/1N2/4/4/4,b4a2
1a2/4/4/4/N3/4,a2c1
a3/4/4/4/4/2N1,c1d3
a3/4/4/3N/4/4,d3c1
4/a3/4/4/4/2N1,c1b3
4/a3/4/1N2/4/4,b3a5
4/4/a3/1N2/4/4,b3a1
4/4/a3/4/4/N3,a1c2
4/4/a3/4/2N1/4,c2a1
4/a3/4/4/4/N3,a1c2
4/a3/4/4/2N1/4,c2d4
4/a3/3N/4/4/4,d4c6
2N1/a3/4/4/4/4,c6a5
a1N1/4/4/4/4/4,c6b4
4/a3/1N2/4/4/4,b4a2
4/a3/4/4/N3/4,a2c1
4/4/a3/4/4/2N1,c1d3
4/4/a3/3N/4/4,d3c1
4/4/1a2/4/4/2N1,c1a2
4/4/1a2/4/N3/4,a2b4
4/1a2/4/4/N3/4,a2c1
4/4/2a1/4/N3/4,a2c1
4/4/2a1/4/4/2N1,c1a2
4/4/3a/4/N3/4,a2b4
4/4/1N1a/4/4/4,b4c6
2N1/4/3a/4/4/4,c6d4
2N1/3a/4/4/4/4,c6a5
4/N2a/4/4/4/4,a5b3
3a/N3/4/4/4/4,a5b3
4/N1a1/4/4/4/4,a5b3
4/N3/3a/4/4/4,a5b3
4/4/4/1N1a/4/4,b3a5
4/N3/4/3a/4/4,a5b3
4/4/4/1Na1/4/4,b3c1
4/4/4/2a1/4/2N1,c1a2
4/4/4/2a1/N3/4,a2c3
4/4/4/3a/N3/4,a2b4
4/4/1N2/3a/4/4,b4d3
4/4/1N2/2a1/4/4,b4a2
4/4/4/1a2/N3/4,a2c1
4/4/4/1a2/4/2N1,c1b3
4/4/4/a3/4/2N1,c1d3
4/4/4/a2N/4/4,d3c1
4/4/4/4/a3/2N1,c1a2
4/4/4/1a1N/4/4,d3c1
4/4/4/3N/a3/4,d3b4
4/4/1N2/4/a3/4,b4a2
4/4/1N2/a3/4/4,b4a6
N3/4/4/a3/4/4,a6c5
4/2N1/4/a3/4/4,c5a6
N3/4/a3/4/4/4,a6c5
4/2N1/a3/4/4/4,c5a4
4/a1N1/4/4/4/4,c5b3
4/2N1/1a2/4/4/4,c5a6
N3/4/1a2/4/4/4,a6b4
N3/1a2/4/4/4/4,a6b4
4/1a2/1N2/4/4/4,b4d3
4/1a2/4/3N/4/4,d3c1
1a2/4/4/3N/4/4,d3c1
4/2a1/4/3N/4/4,d3c5
4/a3/4/3N/4/4,d3c1
4/4/1a2/3N/4/4,d3b4
4/2a1/1N2/4/4/4,b4a2
2a1/4/4/4/N3/4,a2c1
4/3a/4/4/N3/4,a2c3
4/4/3a/2N1/4/4,c3a4
4/4/N2a/4/4/4,a4b2
4/4/3a/4/1N2/4,b2d1
4/4/3a/4/4/3N,d1b2
4/3a/4/4/1N2/4,b2a4
4/3a/N3/4/4/4,a4b6
1N2/3a/4/4/4/4,b6d5
1N1a/4/4/4/4/4,b6a4
3a/4/N3/4/4/4,a4b2
1N2/2a1/4/4/4/4,b6a4
4/2a1/N3/4/4/4,a4c5
4/1a2/N3/4/4/4,a4b2
4/1a2/4/4/1N2/4,b2d3
1a2/4/4/4/1N2/4,b2d1
1a2/4/4/4/4/3N,d1b2
a3/4/4/4/1N2/4,b2a4
a3/4/N3/4/4/4,a4b2
4/a3/4/4/1N2/4,b2d1
4/a3/4/4/4/3N,d1b2
4/4/a3/4/1N2/4,b2a4
a3/4/4/4/4/3N,d1b2
4/1a2/4/4/4/3N,d1b2
4/2a1/4/4/1N2/4,b2d1
4/2a1/4/4/4/3N,d1b2
4/4/2a1/4/1N2/4,b2c4
2a1/4/4/4/4/3N,d1b2
4/3a/4/4/4/3N,d1b2
4/4/2a1/4/4/3N,d1b2
4/4/1a2/4/1N2/4,b2d1
4/4/1a2/4/4/3N,d1b2
4/4/4/1a2/1N2/4,b2d1
4/4/4/1a2/4/3N,d1b2
4/4/4/2a1/1N2/4,b2d1
4/4/4/2a1/4/3N,d1c3
4/4/4/3a/4/3N,d1b2
4/4/4/3a/1N2/4,b2d3
4/4/4/4/1N1a/4,b2c4
4/4/2N1/4/3a/4,c4d2
4/4/2N1/3a/4/4,c4d6
3N/4/4/3a/4/4,d6b5
4/1N2/4/3a/4/4,b5a3
4/4/4/N2a/4/4,a3b1
4/4/4/3a/4/1N2,b1a3
4/4/3a/4/4/1N2,b1d2
4/3a/4/4/3N/4,d2b1
4/4/4/3a/3N/4,d2b1
4/4/4/2a1/4/1N2,b1c3
4/4/4/4/3a/1N2,b1d2
4/4/3a/N3/4/4,a3b1
4/4/4/N1a1/4/4,a3b1
4/4/4/1a2/4/1N2,b1d2
4/4/4/1a2/3N/4,d2b3
4/4/1a2/4/3N/4,d2b1
4/4/1a2/4/4/1N2,b1d2
4/4/a3/4/3N/4,d2c4
4/4/a1N1/4/4/4,c4b6
1N2/4/a3/4/4/4,b6a4
1N2/a3/4/4/4/4,b6d5
4/a2N/4/4/4/4,d5c3
4/a3/4/2N1/4/4,c3b1
4/4/a3/4/4/1N2,b1d2
4/a3/4/4/3N/4,d2b1
4/4/4/a3/3N/4,d2c4
4/4/2N1/a3/4/4,c4a3
4/4/2N1/1a2/4/4,c4b2
4/4/4/a3/1N2/4,b2d1
4/4/4/a3/4/3N,d1c3
4/4/4/a1N1/4/4,c3b5
4/1N2/4/a3/4/4,b5a3
4/1N2/a3/4/4/4,b5d4
4/4/a2N/4/4/4,d4c2
4/4/1a2/4/2N1/4,c2b4
4/4/4/a3/2N1/4,c2a3
4/4/1a1N/4/4/4,d4c2
4/4/4/1a2/2N1/4,c2a1
4/4/4/1a2/4/N3,a1b3
4/4/1a2/4/4/N3,a1c2
4/4/4/2a1/4/N3,a1c2
4/4/4/2a1/2N1/4,c2a1
4/4/4/3a/4/N3,a1b3
4/4/4/1N2/3a/4,b3d2
4/4/4/4/2a1/N3,a1c2
4/4/4/3a/2N1/4,c2a3
4/4/4/N3/3a/4,a3b1
4/4/4/4/2a1/1N2,b1d2
4/4/4/4/2aN/4,d2b1
4/4/4/2a1/3N/4,d2b1
4/4/4/a3/4/N3,a1c2
4/4/4/4/a1N1/4,c2a1
4/4/4/4/a3/N3,a1c2
4/4/3N/a3/4/4,d4c2
4/1N2/4/1a2/4/4,b5a3
4/4/4/Na2/4/4,a3b1
4/4/4/a3/4/1N2,b1a3
4/4/1a2/N3/4/4,a3b1
4/1N2/4/4/a3/4,b5c3
4/4/4/2N1/a3/4,c3a2
4/4/a3/2N1/4/4,c3a4
4/4/4/1aN1/4/4,c3b1
4/4/a3/4/4/3N,d1b2
4/4/4/4/a3/3N,d1b2
4/4/4/4/aN2/4,b2d1
4/4/2N1/4/a3/4,c4b6
1N2/4/4/4/a3/4,b6d5
4/3N/4/4/a3/4,d5c3
4/3N/4/a3/4/4,d5b6
1N2/4/4/a3/4/4,b6d5
4/3N/a3/4/4/4,d5c3
4/4/1a2/2N1/4/4,c3b1
4/3N/4/1a2/4/4,d5c3
1N2/4/4/1a2/4/4,b6a4
4/4/N3/1a2/4/4,a4b2
4/4/Na2/4/4/4,a4b2
4/4/N3/2a1/4/4,a4c3
4/4/N3/a3/4/4,a4c5
4/2N1/4/1a2/4/4,c5b3
4/2N1/4/4/a3/4,c5b3
4/4/4/1N2/a3/4,b3a1
4/4/4/aN2/4/4,b3c1
a3/4/4/2N1/4/4,c3b1
4/1a2/4/2N1/4/4,c3b5
a3/3N/4/4/4/4,d5c3
4/1a1N/4/4/4/4,d5c3
1N2/4/1a2/4/4/4,b6d5
4/3N/1a2/4/4/4,d5b4
4/3N/2a1/4/4/4,d5b6
1N2/4/2a1/4/4/4,b6c4
1N2/4/3a/4/4/4,b6a4
4/4/N1a1/4/4/4,a4b2
4/4/N3/3a/4/4,a4b2
1N2/4/4/2a1/4/4,b6a4
4/4/N3/4/2a1/4,a4b2
4/4/4/4/1Na1/4,b2d1
4/4/4/4/2a1/3N,d1b2
4/4/4/4/3a/3N,d1b2
4/a3/2N1/4/4/4,c4a5
4/4/1aN1/4/4/4,c4d2
4/1N2/3a/4/4/4,b5d4
4/1N2/4/2a1/4/4,b5c3
4/1N2/4/4/3a/4,b5d4
4/4/3N/4/3a/4,d4c6
2N1/4/4/4/3a/4,c6b4
4/4/1N2/4/3a/4,b4a2
4/4/4/4/N2a/4,a2b4
4/4/1N2/4/2a1/4,b4c2
4/4/4/4/N1a1/4,a2c1
4/4/4/4/2a1/2N1,c1a2
4/4/4/4/3a/2N1,c1a2
2N1/4/4/3a/4/4,c6b4
2N1/4/4/4/2a1/4,c6b4
4/4/3N/3a/4/4,d4b5
4/4/3N/4/2a1/4,d4c2
3N/4/3a/4/4/4,d6b5
4/1N1a/4/4/4/4,b5c3
4/1N2/2a1/4/4/4,b5a3
4/4/2a1/N3/4/4,a3c4
3N/4/4/2a1/4/4,d6b5
4/1N2/4/4/2a1/4,b5a3
4/4/4/N3/2a1/4,a3c2
3N/4/4/4/3a/4,d6c4
4/4/2N1/4/2a1/4,c4b2
1a2/4/N3/4/4/4,a4b6
4/a3/N3/4/4/4,a4b2
N3/4/2a1/4/4/4,a6b4
4/4/1Na1/4/4/4,b4a2
N3/4/4/1a2/4/4,a6b4
4/4/1N2/1a2/4/4,b4a6
N3/4/4/2a1/4/4,a6c5
4/2N1/4/2a1/4/4,c5a4
4/2N1/2a1/4/4/4,c5a4
4/2N1/4/3a/4/4,c5d3
4/2N1/4/4/2a1/4,c5b3
4/4/4/1N2/2a1/4,b3a1
4/4/4/4/3a/N3,a1b3
N3/4/4/4/a3/4,a6b4
4/4/4/3a/4/2N1,c1d3
4/N3/4/2a1/4/4,a5c6
2N1/4/4/2a1/4/4,c6a5
4/N3/2a1/4/4/4,a5c4
4/N3/4/1a2/4/4,a5b3
4/N3/4/4/2a1/4,a5b3
2N1/4/2a1/4/4/4,c6a5
4/N3/1a2/4/4/4,a5c6
2N1/4/1a2/4/4/4,c6b4
2N1/1a2/4/4/4/4,c6d4
4/1a2/3N/4/4/4,d4b5
4/2a1/3N/4/4/4,d4c2
2N1/4/a3/4/4/4,c6d4
2N1/4/4/1a2/4/4,c6b4
4/N3/4/4/3a/4,a5b3
4/3a/1N2/4/4/4,b4d5
4/4/3a/4/4/2N1,c1b3
4/4/a3/4/N3/4,a2c1
a3/4/4/4/N3/4,a2c1
a3/4/3N/4/4/4,d4c2
4/4/3a/4/4/N3,a1c2
4/4/3a/4/2N1/4,c2d4
4/4/1a2/1N2/4/4,b3a1
4/4/3a/3N/4/4,d3b2
a3/4/4/N3/4/4,a3b1
4/1a2/4/N3/4/4,a3b5
4/4/a3/N3/4/4,a3b1
2a1/4/4/N3/4/4,a3c4
3a/4/2N1/4/4/4,c4d6
1a2/4/2N1/4/4/4,c4b6
4/2a1/2N1/4/4/4,c4a3
4/3a/4/N3/4/4,a3c2
2a1/4/3N/4/4/4,d4c6
4/3a/3N/4/4/4,d4c2
2a1/4/1N2/4/4/4,b4c6
2a1/4/4/3N/4/4,d3b2
2a1/4/4/2N1/4/4,c3a4
